trajectory_id,split,index,du,dv,k,ic_seed,nfev,max_abs_state,final_mean_u,final_mean_v,final_std_u,final_std_v
v2-training-0294,training,294,0.0010303869860065996,0.00428875557981232,0.005344151138167472,20461216,4217,1.8526827096939087,-0.022654324769973755,-0.022537395358085632,0.4077436923980713,0.2235032618045807
v2-training-0295,training,295,0.0009507244438145147,0.0047326764307029905,0.004121930949888192,20461217,4493,1.7311540842056274,-0.01115131750702858,-0.011103373020887375,0.4468802213668823,0.22090129554271698
v2-training-0296,training,296,0.0008932780430756304,0.004702865568396838,0.004715629990610324,20461218,4445,1.4956647157669067,-0.011567269451916218,-0.011434945277869701,0.46362364292144775,0.23014488816261292
v2-training-0297,training,297,0.0010674807178277285,0.00578316733626286,0.00580590451134389,20461219,5225,1.4409829378128052,-0.01901043951511383,-0.019061293452978134,0.462022602558136,0.22539260983467102
v2-training-0298,training,298,0.001061377397155462,0.0040581617884336025,0.005913227983806238,20461220,3941,1.6908559799194336,-0.029040968045592308,-0.029107965528964996,0.3924056589603424,0.21550022065639496
v2-training-0299,training,299,0.0009927492256858797,0.004203162838779208,0.005182591846531723,20461221,4277,1.6273574829101562,-0.019871007651090622,-0.019859720021486282,0.4181990623474121,0.228885680437088
v2-training-0300,training,300,0.0011364383727701173,0.005036774201202868,0.004203616019057151,20461222,4673,1.962511658668518,-0.015964146703481674,-0.015949640423059464,0.4286349415779114,0.2345031499862671
v2-training-0301,training,301,0.0010852788700586933,0.0051842844969516725,0.004668624587184058,20461223,4817,1.433512806892395,-0.019376877695322037,-0.019521335139870644,0.43940791487693787,0.23783224821090698
v2-training-0302,training,302,0.0009110015102594017,0.004266549536670517,0.005462561898107005,20461224,4397,1.597511649131775,-0.01856662705540657,-0.018645450472831726,0.4384402930736542,0.2341894656419754
v2-training-0303,training,303,0.0010835178409605891,0.005039483520456857,0.0049867025461759465,20461225,4649,1.645624041557312,-0.016627416014671326,-0.016680464148521423,0.4347597062587738,0.23449501395225525
v2-training-0304,training,304,0.00083634213143903,0.005414359179519046,0.005277776611384267,20461226,4973,1.5365313291549683,-0.017988258972764015,-0.018183495849370956,0.4964556097984314,0.2282024472951889
v2-training-0305,training,305,0.0010720819680328322,0.00467857684287652,0.005606645834446737,20461227,4433,1.7160581350326538,-0.019815299659967422,-0.019860927015542984,0.4195745289325714,0.22568297386169434
v2-training-0306,training,306,0.0011434721550758315,0.004854439160639181,0.004982419963183206,20461228,4541,1.3852380514144897,-0.018679533153772354,-0.018665559589862823,0.41838666796684265,0.22980496287345886
v2-training-0307,training,307,0.0009161659128399883,0.004223582415952352,0.005576120428021726,20461229,4265,1.9763177633285522,-0.01942751370370388,-0.019468698650598526,0.43365639448165894,0.2286212146282196
v2-training-0308,training,308,0.0010811226531550302,0.005107921731686705,0.004073490032548524,20461230,4769,1.7886170148849487,-0.009585193358361721,-0.009585252031683922,0.443074107170105,0.22640360891819
v2-training-0309,training,309,0.0011033127406993785,0.004406940929608591,0.005290459269962765,20461231,4205,1.74211847782135,-0.026159603148698807,-0.026292648166418076,0.40117356181144714,0.22262756526470184
v2-training-0310,training,310,0.0010916554302190227,0.00574169821088841,0.005386543379171431,20461232,4973,1.3707094192504883,-0.01009318046271801,-0.010129021480679512,0.46054819226264954,0.23068580031394958
v2-training-0311,training,311,0.0009168538609067885,0.004462532905302496,0.004312425092581384,20461233,4217,1.2575209140777588,-0.015192287974059582,-0.01518297754228115,0.4439445436000824,0.23818260431289673
v2-training-0312,training,312,0.000830966662032495,0.004178785357887994,0.005716712612745353,20461234,4313,1.5706627368927002,-0.017283599823713303,-0.01733344979584217,0.4464622735977173,0.23183606564998627
v2-training-0313,training,313,0.0010574239657525192,0.005475512736444202,0.004200567855815079,20461235,4793,1.40137779712677,-0.015194904990494251,-0.015252415090799332,0.4591982960700989,0.23785248398780823
v2-training-0314,training,314,0.000979281013224643,0.005024110952331677,0.00481950716715089,20461236,4685,1.355454444885254,-0.015804708003997803,-0.016019601374864578,0.4563055634498596,0.23234640061855316
v2-training-0315,training,315,0.001106360715223591,0.005477224662087251,0.005981597715091378,20461237,5009,1.5404847860336304,-0.015275168232619762,-0.015318171121180058,0.44876545667648315,0.23359157145023346
v2-training-0316,training,316,0.001171224052862793,0.0048508227663083625,0.004609345063397555,20461238,4553,1.7009432315826416,-0.013594637624919415,-0.013670234009623528,0.4146205186843872,0.2299008071422577
v2-training-0317,training,317,0.001148538416432459,0.004989763924275095,0.004293771386126946,20461239,4481,1.5076407194137573,-0.023642145097255707,-0.023687416687607765,0.4172217845916748,0.2240651547908783
v2-training-0318,training,318,0.000944463321684849,0.004622904968518924,0.005370621992638315,20461240,4409,1.48762845993042,-0.015042146667838097,-0.014990994706749916,0.4484202563762665,0.2269141525030136
v2-training-0319,training,319,0.0011181339965998136,0.0056218586662502585,0.005401955780505372,20461241,5069,1.5300008058547974,-0.01726238988339901,-0.017109982669353485,0.4488151967525482,0.2319333255290985
v2-training-0320,training,320,0.0009118553793208697,0.004767749668084045,0.0054161681591420804,20461242,4493,1.63114333152771,-0.026796985417604446,-0.026817206293344498,0.45982444286346436,0.22966179251670837
v2-training-0321,training,321,0.0011859980478246238,0.005325397869247709,0.005939379373420376,20461243,4805,1.498599648475647,-0.02075807750225067,-0.020910749211907387,0.4294205904006958,0.22537371516227722
v2-training-0322,training,322,0.0010386068477452387,0.004017954686222714,0.005909308196570239,20461244,4145,1.741348385810852,-0.02469702810049057,-0.024796053767204285,0.3964865207672119,0.22440284490585327
v2-training-0323,training,323,0.0009699322567710977,0.004022971212952299,0.005465827563374065,20461245,4253,1.3606747388839722,-0.017750920727849007,-0.017795559018850327,0.41485822200775146,0.23198550939559937
v2-training-0324,training,324,0.0009980407370444805,0.004127826236733334,0.00484794848276704,20461246,4289,1.4412248134613037,-0.01467616856098175,-0.014672530815005302,0.4149572551250458,0.22573961317539215
v2-training-0325,training,325,0.0011912079665863508,0.004823874337582084,0.005293280282187083,20461247,4517,1.5239067077636719,-0.023918190971016884,-0.023974427953362465,0.4054540991783142,0.23054957389831543
v2-training-0326,training,326,0.000888250276480134,0.004707669765118875,0.004479379237099592,20461248,4433,1.6305419206619263,-0.01958395168185234,-0.01962270401418209,0.4613501727581024,0.22299690544605255
v2-training-0327,training,327,0.0010478065590794694,0.005394740528674078,0.005347788864736155,20461249,4925,1.3118566274642944,-0.017961248755455017,-0.01803608238697052,0.4558950662612915,0.23134204745292664
v2-training-0328,training,328,0.0008761214089527494,0.00433855096881533,0.00497155464261959,20461250,4109,1.838109016418457,-0.015090353786945343,-0.015084479004144669,0.4489970803260803,0.22766387462615967
v2-training-0329,training,329,0.0009689499393047105,0.004103159521640275,0.005569732751429816,20461251,4193,1.6754571199417114,-0.020391762256622314,-0.020388547331094742,0.41767796874046326,0.22376097738742828
v2-training-0330,training,330,0.0008215949415828986,0.004159766172108687,0.004449240871822829,20461252,4325,1.560848593711853,-0.023141011595726013,-0.023291368037462234,0.4503225088119507,0.22236774861812592
v2-training-0331,training,331,0.0011840477352036338,0.004060898027574626,0.005216500559859212,20461253,3905,1.5054959058761597,-0.02122008055448532,-0.02124476432800293,0.3706939220428467,0.22351667284965515
v2-training-0332,training,332,0.0009959966933067756,0.004364307337082467,0.004007914886006584,20461254,4421,1.4581259489059448,-0.0142911896109581,-0.014330388978123665,0.42563527822494507,0.23527200520038605
v2-training-0333,training,333,0.0008162091504485886,0.0052176580042379616,0.005617858501492465,20461255,4793,1.6082278490066528,-0.020735861733555794,-0.020662665367126465,0.4965178966522217,0.23026442527770996
v2-training-0334,training,334,0.0008683022237072685,0.004817525770137937,0.004976755014391717,20461256,4553,1.5103380680084229,-0.01660151593387127,-0.016708750277757645,0.46596887707710266,0.22305618226528168
v2-training-0335,training,335,0.000930160375795834,0.005030165387754039,0.005297062705905089,20461257,4709,1.7555569410324097,-0.014158166944980621,-0.014391954988241196,0.4632735252380371,0.22829493880271912
v2-training-0336,training,336,0.0008909358573714124,0.005960049784711548,0.00526233736793973,20461258,5177,1.2213155031204224,-0.017282525077462196,-0.017349902540445328,0.5068804621696472,0.23608572781085968
