optimizer_steps,loss,physical_velocity_mse,spectral_relative_error,velocity_nrmse,velocity_nrmse_u,velocity_nrmse_v,gradient_norm,rollout_nrmse,final_rollout_nrmse,boundary_normal_mse,stable
1800.0,0.0023288277443498373,6.479164585471153e-05,0.0020181583240628242,0.03520172834396362,0.05380525067448616,0.030231451615691185,6.6034440994262695,nan,nan,nan,1.0
1900.0,0.0021927859634160995,5.439306914922781e-05,0.0020742793567478657,0.03211134672164917,0.05066961050033569,0.0256638303399086,6.523287296295166,nan,nan,nan,1.0
2000.0,0.001314637833274901,4.7961060772649944e-05,0.0010636572260409594,0.02738027647137642,0.04143132269382477,0.022746967151761055,4.822659492492676,nan,nan,nan,1.0
2100.0,0.0015006207395344973,4.298140265746042e-05,0.0013723038136959076,0.027504486963152885,0.044998008757829666,0.02086620405316353,5.3642683029174805,nan,nan,nan,1.0
2200.0,0.001716656843200326,3.8825441151857376e-05,0.001705328468233347,0.02806101180613041,0.042732421308755875,0.022526202723383904,5.809169769287109,nan,nan,nan,1.0
2300.0,0.0013724372256547213,3.531737456796691e-05,0.001320717390626669,0.026134448125958443,0.03589366748929024,0.023680362850427628,5.065767765045166,nan,nan,nan,1.0
2400.0,0.0009143580100499094,3.2063122489489615e-05,0.0007764318725094199,0.022925155237317085,0.028403589501976967,0.02163703553378582,3.9335289001464844,nan,nan,nan,1.0
2500.0,0.0011395708424970508,2.9023769457126036e-05,0.0010868145618587732,0.023434996604919434,0.02997046895325184,0.022063961252570152,4.5745134353637695,nan,nan,nan,1.0
2600.0,0.001226118067279458,2.64345362666063e-05,0.0011998165864497423,0.02346557192504406,0.028982268646359444,0.024766510352492332,4.54119348526001,nan,nan,nan,1.0
2700.0,0.0012468198547139764,2.4083316020551138e-05,0.0013087887782603502,0.025938307866454124,0.026807185262441635,0.027736714109778404,4.4752349853515625,nan,nan,nan,1.0
2800.0,0.001139048021286726,2.2075579181546345e-05,0.0011863828403875232,0.02599123865365982,0.026695385575294495,0.02859249897301197,4.035800457000732,nan,nan,nan,1.0
2900.0,0.003236376214772463,2.2649963284493424e-05,0.003743956098333001,0.041247621178627014,0.035815514624118805,0.045211344957351685,3.5754077434539795,nan,nan,nan,1.0
