trajectory_id,split,index,du,dv,k,ic_seed,ic_regime,parameter_band,success,cached,runtime_seconds,nfev,max_abs_state,final_mean_u,final_mean_v,final_std_u,final_std_v,message
id-0004,id,4,0.0008108794439956814,0.004563393167999677,0.005027078377754616,31733,train,central,True,True,1.3208491669793148,4133,1.889719009399414,-0.02488806631112439,-0.024844408244994565,0.4684767579070274,0.23409806692796517,The solver successfully reached the end of the integration interval.
id-0005,id,5,0.001009395880237462,0.0046965179072482295,0.0056719575773873645,31734,train,central,True,True,1.3937114999862388,4253,1.704798936843872,-0.02363801728921011,-0.0237884883707693,0.43312425372103674,0.22734516223954976,The solver successfully reached the end of the integration interval.
id-0006,id,6,0.0011559770540662778,0.005888200450785636,0.005696778707420374,31735,train,central,True,True,1.6511705000011716,5141,1.9786194562911987,-0.028613787328801266,-0.028724095133807026,0.45142304474180334,0.2267319255397598,The solver successfully reached the end of the integration interval.
id-0007,id,7,0.0011294454406994639,0.004776163999060594,0.004384126051068579,31736,train,central,True,True,1.4209452499926556,4277,2.1530134677886963,-0.014263295348744265,-0.01430079072359991,0.4102412623504594,0.2246571788984789,The solver successfully reached the end of the integration interval.
id-0008,id,8,0.0010379674825084977,0.005089414350512331,0.00400510825455387,31737,train,central,True,True,1.4335548329981975,4553,2.1393496990203857,-0.011482464934182701,-0.011436976498821139,0.4437566355872787,0.22358815433607135,The solver successfully reached the end of the integration interval.
id-0009,id,9,0.0011398077671367626,0.00411708858665046,0.004194384518624997,31738,train,central,True,True,1.2195375000010245,3869,2.0147180557250977,-0.027177888632124336,-0.027187201056338317,0.37601242152674885,0.21562675038444934,The solver successfully reached the end of the integration interval.
id-0010,id,10,0.0008632654829721339,0.005055089116686853,0.0046373718146165005,31739,train,central,True,True,1.5330603330221493,4553,1.9701639413833618,-0.01808508579883039,-0.018073222515003096,0.47592908652138255,0.22576393401367684,The solver successfully reached the end of the integration interval.
id-0011,id,11,0.0008244559590661951,0.005070843677191274,0.00482921727351612,31740,train,central,True,True,1.5208947499922942,4529,2.2000789642333984,-0.020172980684726838,-0.020349320534300164,0.483624340946296,0.22733991480375107,The solver successfully reached the end of the integration interval.
id-0012,id,12,0.0009918613465967159,0.004234479400203041,0.004058194974146405,31741,train,central,True,True,1.1956616250099614,3893,2.189347267150879,-0.018778480983845824,-0.01865261400265439,0.4151064002442406,0.2197175646495325,The solver successfully reached the end of the integration interval.
id-0013,id,13,0.000965540265486664,0.005448514741008544,0.004641730464637068,31742,train,central,True,True,1.5056459589977749,4793,2.2292027473449707,-0.016308035356852102,-0.016422856963427712,0.469432038917486,0.2277123002006445,The solver successfully reached the end of the integration interval.
id-0014,id,14,0.0008458471926703909,0.004877059206067647,0.00452270490109231,31743,train,central,True,True,1.4324568750162143,4373,1.8556492328643799,-0.014962082374637475,-0.015001076981867811,0.47353507896227814,0.23887496837408642,The solver successfully reached the end of the integration interval.
id-0015,id,15,0.000901643790553152,0.004404493154848053,0.005418585071039465,31744,train,central,True,True,1.3589227919874247,4037,1.7212225198745728,-0.02725017076808456,-0.02733733383558956,0.4383590859239306,0.2348626588565085,The solver successfully reached the end of the integration interval.
id-0016,id,16,0.000986875238917777,0.0045974062731329556,0.004074561946385555,31745,train,central,True,True,1.3364412920200266,4253,2.032477617263794,-0.010335914385038336,-0.010272007868360689,0.4335260747610501,0.22473999745554976,The solver successfully reached the end of the integration interval.
id-0017,id,17,0.001061196129496749,0.005391577439322011,0.004853166029964216,31746,train,central,True,True,1.5342199999722652,4769,1.616159439086914,-0.01913996801741291,-0.019124847508058096,0.4488493388965236,0.2245108367238698,The solver successfully reached the end of the integration interval.
id-0018,id,18,0.0010756995853015059,0.0049382613071108005,0.005769679838527343,31747,train,central,True,True,1.4758033340040129,4457,1.5382790565490723,-0.024864915969221357,-0.024877311204419716,0.42668990760582715,0.21986769887926977,The solver successfully reached the end of the integration interval.
id-0019,id,19,0.0008199152642856762,0.005487311315501869,0.004319245797706288,31748,train,central,True,True,1.6032387079903856,4853,2.0716986656188965,-0.014678306460055524,-0.014713538215771038,0.5030518245337828,0.22784598977576279,The solver successfully reached the end of the integration interval.
id-0020,id,20,0.0011751783289133768,0.005177095127091294,0.005813046075007416,31749,train,central,True,True,1.5152467089938,4577,1.8135321140289307,-0.0372058945081335,-0.037273675304706266,0.4177258616115649,0.22545032757231678,The solver successfully reached the end of the integration interval.
id-0021,id,21,0.00111585076700787,0.004440426729110855,0.004723363922732797,31750,train,central,True,True,1.3170033750066068,4085,2.1771903038024902,-0.020752612038592133,-0.020756088532055017,0.40011122499714197,0.2214900132527269,The solver successfully reached the end of the integration interval.
id-0022,id,22,0.0011049116662698048,0.005273079348724518,0.004030448104958195,31751,train,central,True,True,1.5183659589965828,4661,2.4005720615386963,-0.01152784482546565,-0.011547659360661378,0.4398713598143954,0.22813417280313245,The solver successfully reached the end of the integration interval.
id-0023,id,23,0.0008303757456521798,0.0043739849872874775,0.005609858734823102,31752,train,central,True,True,1.3720239999820478,4037,2.300463914871216,-0.019423182481915546,-0.019485952903740333,0.4549938740837257,0.23725347453171694,The solver successfully reached the end of the integration interval.
id-0024,id,24,0.0008048869118800124,0.004678987147431653,0.005844671913831562,31753,train,central,True,True,1.3739652920048684,4229,2.067103385925293,-0.015381054507150438,-0.015489430705063256,0.47715520733224737,0.23383368499598678,The solver successfully reached the end of the integration interval.
id-0025,id,25,0.0011709147835716645,0.005851337610862037,0.004324823262422517,31754,train,central,True,True,1.624305583012756,5093,1.8179701566696167,-0.014714583859602115,-0.014734970833645722,0.4492037449745527,0.2191749329870013,The solver successfully reached the end of the integration interval.
id-0026,id,26,0.0009728039316339628,0.004533901484035791,0.004689379595696854,31755,train,central,True,True,1.3643255420029163,4157,2.8934383392333984,-0.012941828474549055,-0.013096825886808716,0.4329450435925056,0.22732401631113877,The solver successfully reached the end of the integration interval.
id-0027,id,27,0.0011785258034044625,0.0054276977830357885,0.005278930183296197,31756,train,central,True,True,1.5922163329960313,4769,1.8303508758544922,-0.029321704537807136,-0.029342643324200335,0.42995141871880926,0.22277762265222864,The solver successfully reached the end of the integration interval.
id-0028,id,28,0.000894911917413132,0.0051957309878482094,0.004138810068649839,31757,train,central,True,True,1.566342625010293,4649,1.7773600816726685,-0.015839319692453557,-0.01578614458215366,0.4740732318529052,0.2307635789841992,The solver successfully reached the end of the integration interval.
id-0029,id,29,0.0011613650956190196,0.004636237573187022,0.004256385823293215,31758,train,central,True,True,1.335195957974065,4181,2.092339515686035,-0.019762492361863337,-0.019727441749065655,0.4017288681525607,0.21905061902724693,The solver successfully reached the end of the integration interval.
id-0030,id,30,0.0009229015923770123,0.005661477491264845,0.005487138588755816,31759,train,central,True,True,1.632128625002224,4973,1.9565527439117432,-0.019375515253607034,-0.019231414067171215,0.48500526949852923,0.22641208789116435,The solver successfully reached the end of the integration interval.
id-0031,id,31,0.0008526002794949266,0.00597223325990749,0.005310134152780261,31760,train,central,True,True,1.6870737920107786,5201,2.3072457313537598,-0.01961874952553444,-0.01963972731532948,0.5085349546003666,0.23076457782918397,The solver successfully reached the end of the integration interval.
id-0032,id,32,0.0010440676242994098,0.004017390423879522,0.005387566869791633,31761,train,central,True,True,1.3263087919913232,3713,1.7868660688400269,-0.02217450020687295,-0.022111441801806464,0.3932225786177405,0.22067276345113057,The solver successfully reached the end of the integration interval.
id-0033,id,33,0.0011467833068197204,0.005224262134446876,0.005651486334145244,31762,train,central,True,True,1.525040791981155,4625,1.6313538551330566,-0.026650989631783695,-0.026468201155150695,0.4296342396851428,0.22266534588518686,The solver successfully reached the end of the integration interval.
id-0034,id,34,0.0008659189533982166,0.005300682259710639,0.004096472058627816,31763,train,central,True,True,1.628171584015945,4709,2.5086352825164795,-0.013479761949525937,-0.013480763949811791,0.4873711811564832,0.22734879195111474,The solver successfully reached the end of the integration interval.
id-0035,id,35,0.0008122598697687242,0.0050157955992201665,0.005231042617837141,31764,train,central,True,True,1.5829223329783417,4541,1.7669888734817505,-0.017060755479981538,-0.01685067711923338,0.4879108166623552,0.23193125637439482,The solver successfully reached the end of the integration interval.
id-0036,id,36,0.00097112079906174,0.004895439632890951,0.004916349239129638,31765,train,central,True,True,1.4180994170019403,4445,1.7093374729156494,-0.02023423447069561,-0.020511661638746403,0.4463417099035184,0.22631410879189076,The solver successfully reached the end of the integration interval.
id-0037,id,37,0.0009267610025742707,0.004342432000189552,0.005525898143256888,31766,train,central,True,True,1.2697671249916311,4001,1.9970804452896118,-0.023121014108703264,-0.023212345374103105,0.432485282636371,0.2328549869931387,The solver successfully reached the end of the integration interval.
id-0038,id,38,0.0010673239150981193,0.005146631599832131,0.004590373887993505,31767,train,central,True,True,1.5924335420131683,4589,3.5019826889038086,-0.022418365909572913,-0.02242960455326415,0.4406823445538595,0.2265270726326698,The solver successfully reached the end of the integration interval.
id-0039,id,39,0.0010776531613553918,0.005748555326423801,0.004118960956362604,31768,train,central,True,True,1.6855987920134794,5021,2.9235801696777344,-0.019121832208938372,-0.01910509160115481,0.46352823345452987,0.22762196184057995,The solver successfully reached the end of the integration interval.
id-0040,id,40,0.0009328287812561764,0.0049157268837423575,0.005757188002532484,31769,train,central,True,True,1.5370743749954272,4421,2.206055164337158,-0.017737831933310133,-0.01788284658540462,0.4581037029846209,0.2321164093956517,The solver successfully reached the end of the integration interval.
id-0041,id,41,0.0011484327762485884,0.004602233755645544,0.005574402312656818,31770,train,central,True,True,1.2918109580059536,4157,2.768612861633301,-0.027018960701752803,-0.027047854735918975,0.4004530446335751,0.2117698551092243,The solver successfully reached the end of the integration interval.
id-0042,id,42,0.0009040062017628463,0.00541192455197421,0.00508042550852212,31771,train,central,True,True,1.575656708999304,4769,1.7255529165267944,-0.01955927303031757,-0.01959242797026306,0.4812044723877976,0.22537272101115605,The solver successfully reached the end of the integration interval.
id-0043,id,43,0.001029496906491196,0.005374319645147785,0.005356439071845409,31772,train,central,True,True,1.6791233750118408,4769,2.2191848754882812,-0.016262663091850982,-0.0163604692704169,0.456196115711982,0.22698747866895738,The solver successfully reached the end of the integration interval.
id-0044,id,44,0.0009774336210407646,0.005925030922744472,0.0042347456090056825,31773,train,central,True,True,1.7563807910191827,5153,1.9301692247390747,-0.019480211509478096,-0.019600580471443863,0.48014211869031787,0.22540158930681614,The solver successfully reached the end of the integration interval.
id-0045,id,45,0.0008764299882743592,0.0046493473589747855,0.005055187047745638,31774,train,central,True,True,1.5068402079923544,4241,2.1581170558929443,-0.01753322922467504,-0.01747633649076974,0.45778460255390807,0.23559443924266243,The solver successfully reached the end of the integration interval.
id-0046,id,46,0.001015135105605853,0.004517217095688095,0.00586062969894474,31775,train,central,True,True,1.2826053340104409,4085,2.009016752243042,-0.02546858500309168,-0.025521445844669977,0.4243237112238496,0.22840807041883845,The solver successfully reached the end of the integration interval.
id-0047,id,47,0.0009293501751090801,0.004943776257630957,0.004860222416213606,31776,train,central,True,True,1.5117700830160175,4421,1.980694055557251,-0.01715174467647529,-0.017053762739433154,0.45540708480029246,0.2318656965472199,The solver successfully reached the end of the integration interval.
id-0048,id,48,0.0009392053603565818,0.005513789526242784,0.005454071626119086,31777,train,central,True,True,1.602786167000886,4853,1.9745320081710815,-0.019438164208807507,-0.01935020137176391,0.47521378323642766,0.23219927748860203,The solver successfully reached the end of the integration interval.
id-0049,id,49,0.0008735303209409233,0.004558435401007333,0.00579222790190524,31778,train,central,True,True,1.4806749999988824,4145,2.560828924179077,-0.022484915121637528,-0.02258981549629624,0.45378273242809125,0.22752584383201857,The solver successfully reached the end of the integration interval.
id-0050,id,50,0.001091649469611393,0.0054767132818112785,0.005378115303995035,31779,train,central,True,True,1.6409334590134677,4817,1.8208649158477783,-0.026746454393148156,-0.026749734349991172,0.4497259000779117,0.22328946561090796,The solver successfully reached the end of the integration interval.
