trajectory_id,relative_l2,final_nrmse,mean_nrmse,max_abs_prediction,diverged
id-0050,0.2278730422258377,0.33216288685798645,0.21359725296497345,1.8208649158477783,False
id-0051,0.3006123900413513,0.47049346566200256,0.2705972194671631,2.941866636276245,False
id-0052,0.21509979665279388,0.33580636978149414,0.19862905144691467,1.8487964868545532,False
id-0053,0.26148223876953125,0.41367316246032715,0.23932379484176636,1.8131215572357178,False
id-0054,0.23586836457252502,0.3391413390636444,0.21948513388633728,2.003035545349121,False
id-0055,0.24908924102783203,0.3586329519748688,0.23232533037662506,1.6102306842803955,False
id-0056,0.2323015183210373,0.3503968417644501,0.2157977670431137,2.0795252323150635,False
id-0057,0.26626747846603394,0.39795926213264465,0.24594153463840485,2.310213088989258,False
id-0058,0.2931080162525177,0.45660486817359924,0.2672575116157532,1.9166638851165771,False
id-0059,0.23786060512065887,0.37557101249694824,0.21960557997226715,1.911881446838379,False
id-0060,0.3001454472541809,0.464504212141037,0.2758183777332306,2.223285436630249,False
id-0061,0.24418872594833374,0.37139391899108887,0.23256833851337433,1.5991545915603638,False
id-0062,0.3041771352291107,0.47077539563179016,0.27699995040893555,2.220247507095337,False
id-0063,0.3195750117301941,0.45505014061927795,0.3026735484600067,1.5410264730453491,False
id-0064,0.25528985261917114,0.3945474922657013,0.23844830691814423,2.0420444011688232,False
id-0065,0.24599094688892365,0.37125858664512634,0.22675496339797974,1.6669169664382935,False
id-0066,0.286982923746109,0.4347500503063202,0.25985991954803467,1.9405828714370728,False
id-0067,0.2789948582649231,0.41662144660949707,0.2550809681415558,1.6433833837509155,False
id-0068,0.2563765347003937,0.3842519223690033,0.23470570147037506,1.6918647289276123,False
id-0069,0.2926526367664337,0.43647274374961853,0.27134329080581665,2.744704246520996,False
id-0070,0.22195225954055786,0.3508923053741455,0.20569448173046112,1.7336257696151733,False
id-0071,0.2675885856151581,0.418869286775589,0.24577519297599792,3.0216684341430664,False
id-0072,0.25018659234046936,0.4057064354419708,0.22469401359558105,1.978987693786621,False
id-0073,0.2370096743106842,0.3678598403930664,0.21963685750961304,2.1123523712158203,False
id-0074,0.23650403320789337,0.3768882155418396,0.21389473974704742,2.0114612579345703,False
id-0075,0.3071803152561188,0.4715089201927185,0.28028395771980286,1.8333511352539062,False
id-0076,0.30417898297309875,0.4536384344100952,0.2824748456478119,1.6403337717056274,False
id-0077,0.3206023871898651,0.47581902146339417,0.2993330657482147,1.8518731594085693,False
id-0078,0.2779759466648102,0.43138450384140015,0.2518594264984131,1.8953529596328735,False
id-0079,0.30898749828338623,0.45308011770248413,0.2912687063217163,2.0773940086364746,False
id-0080,0.3004637658596039,0.4383189380168915,0.28071343898773193,1.7787343263626099,False
id-0081,0.27746012806892395,0.4448833465576172,0.25068286061286926,1.688043236732483,False
id-0082,0.330522745847702,0.46527212858200073,0.3026275932788849,2.3125357627868652,False
id-0083,0.25202450156211853,0.3825373649597168,0.231061652302742,2.065875291824341,False
id-0084,0.3447757065296173,0.5200450420379639,0.31790629029273987,2.100032329559326,False
id-0085,0.32470986247062683,0.46864938735961914,0.3097325563430786,2.9349567890167236,False
id-0086,0.26592251658439636,0.39723286032676697,0.2479567974805832,1.886479139328003,False
id-0087,0.26645123958587646,0.421102374792099,0.24268528819084167,1.9406485557556152,False
id-0088,0.22684693336486816,0.3512067496776581,0.2119773030281067,2.293208599090576,False
id-0089,0.23003312945365906,0.348847895860672,0.21631762385368347,1.664988398551941,False
id-0090,0.26344186067581177,0.4121372699737549,0.23941318690776825,2.2942099571228027,False
id-0091,0.2712996304035187,0.40605786442756653,0.2544006407260895,1.9237667322158813,False
id-0092,0.26313894987106323,0.38292136788368225,0.2422022670507431,1.878993272781372,False
id-0093,0.3240833282470703,0.49862420558929443,0.2907545566558838,2.034001111984253,False
id-0094,0.2906177043914795,0.422615110874176,0.26851561665534973,1.8706846237182617,False
id-0095,0.27337631583213806,0.3849375247955322,0.25830674171447754,1.6265603303909302,False
id-0096,0.23401647806167603,0.3451269865036011,0.2168596088886261,1.7298824787139893,False
id-0097,0.28678181767463684,0.4037637710571289,0.2673526108264923,2.3572986125946045,False
id-0098,0.2560991942882538,0.37179458141326904,0.24486280977725983,2.691786289215088,False
id-0099,0.3227497339248657,0.49531981348991394,0.2909224033355713,1.862324833869934,False
