optimizer_steps,loss,physical_velocity_mse,spectral_relative_error,velocity_nrmse,velocity_nrmse_u,velocity_nrmse_v,gradient_norm,rollout_nrmse,final_rollout_nrmse,boundary_normal_mse,stable
1200.0,0.008103543892502785,0.00048325187526643276,0.007450616918504238,0.07059038430452347,0.08865376561880112,0.06602050364017487,17.376110076904297,nan,nan,nan,1.0
1300.0,0.006837343797087669,0.00042914284858852625,0.006429624278098345,0.06764047592878342,0.0837712287902832,0.048337943851947784,8.16344165802002,nan,nan,nan,1.0
1400.0,0.009888063184916973,0.00039671745616942644,0.010370993986725807,0.0724773183465004,0.09795548021793365,0.05162692815065384,9.111696243286133,nan,nan,nan,1.0
1500.0,0.004510912112891674,0.0003458956489339471,0.0036989040672779083,0.052753034979104996,0.04930949956178665,0.052494268864393234,8.550898551940918,nan,nan,nan,1.0
1600.0,0.002250006189569831,0.00030513532692566514,0.0012194239534437656,0.04091177508234978,0.03508668765425682,0.04659281671047211,6.216906547546387,nan,nan,nan,1.0
1700.0,0.003695485182106495,0.000276379898423329,0.0032049110159277916,0.05195572227239609,0.036041803658008575,0.055577296763658524,7.491846084594727,nan,nan,nan,1.0
1800.0,0.0029552546329796314,0.00024069104983936995,0.002439274452626705,0.05001268908381462,0.04279186576604843,0.04907973110675812,6.562808990478516,nan,nan,nan,1.0
1900.0,0.003490202594548464,0.00021179865871090442,0.003274697344750166,0.048175148665905,0.05296565964818001,0.0472499318420887,4.922316551208496,nan,nan,nan,1.0
2000.0,0.002819497836753726,0.0001866621314547956,0.0025460037868469954,0.04437853768467903,0.05553228780627251,0.041087351739406586,5.480541229248047,nan,nan,nan,1.0
2100.0,0.002475820481777191,0.00016504951054230332,0.002220116788521409,0.04098367691040039,0.05095650255680084,0.03931218758225441,5.638232707977295,nan,nan,nan,1.0
2200.0,0.002156950533390045,0.00014612311497330666,0.0019162637181580067,0.037922415882349014,0.02851947396993637,0.04123229160904884,5.760926723480225,nan,nan,nan,1.0
2300.0,0.0012906143674626946,0.00012883312592748553,0.0009001408470794559,0.033139392733573914,0.021838989108800888,0.03365100547671318,7.200281143188477,nan,nan,nan,1.0
2400.0,0.0020873136818408966,0.00011349408305250108,0.001995234750211239,0.03479567542672157,0.0221732035279274,0.0425298772752285,4.7884907722473145,nan,nan,nan,1.0
2500.0,0.0009640875505283475,0.0001003627767204307,0.0006350042531266809,0.02884327992796898,0.01907525770366192,0.029247500002384186,7.018017768859863,nan,nan,nan,1.0
